level,ex,ey,ez,nx,ny,nz,nodes,elements,dofs,hx_in,hy_in,hz_in,seed_E_psi,free_end_uy_in,target_uy_in,abs_error_vs_target_in,pct_error_vs_target,pct_change_uy_from_previous,implied_calibrated_Ez_psi,pct_change_implied_Ez_from_previous,relative_equilibrium_residual
1,1,2,30,2,3,31,186,60,1116,4.0,4.0,4.0,2000000.0,-0.018089439039242743,-0.0216,0.003510560960757258,16.25259704054286,,1674948.059189143,,4.124151687503131e-12
2,2,4,60,3,5,61,915,480,5490,2.0,2.0,2.0,2000000.0,-0.018136521789681385,-0.0216,0.0034634782103186157,16.034621344067666,0.25960187396808065,1679307.5731186466,0.2596018739680708,1.4836837051887208e-11
3,3,6,90,4,7,91,2548,1620,15288,1.3333333333333333,1.3333333333333333,1.3333333333333333,2000000.0,-0.01814710802238289,-0.0216,0.003452891977617112,15.985611007486627,0.058335646034875774,1680287.7798502673,0.05833564603487492,3.514706956061243e-11
4,4,8,120,5,9,121,5445,3840,32670,1.0,1.0,1.0,2000000.0,-0.018151224849539342,-0.0216,0.003448775150460659,15.96655162250305,0.022680712682358602,1680668.9675499392,0.022680712682374683,1.173573608580762e-10
